STATION,STATION_NAME,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,TOBS
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170210,-9999,-9999,0.33,7,4,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170211,-9999,-9999,0,6,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170212,-9999,-9999,0.13,3.5,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170213,-9999,-9999,0.57,4,1.5,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170214,-9999,-9999,0,4,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170215,-9999,-9999,0,4,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170216,-9999,-9999,0.01,3.5,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170217,-9999,-9999,0,3.5,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170218,-9999,-9999,0,1.5,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170219,-9999,-9999,0,1,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170220,-9999,-9999,0,0,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170221,-9999,-9999,0,0,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170222,-9999,-9999,0,0,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170223,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170224,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170225,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170226,-9999,-9999,0.59,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170227,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170228,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
